attack_type,casting_time,concentration,duration,index,level,material,name,range,ritual,school_index,school_name
,1 action,True,Up to 1 hour,protection-from-energy,3,,Protection From Energy,Touch,False,abjuration,Abjuration
,1 action,True,Up to 10 minutes,protection-from-evil-and-good,1,"Holy water or powdered silver and iron, which the spell consumes.",Protection from Evil and Good,Touch,False,abjuration,Abjuration
,1 action,False,1 hour,protection-from-poison,2,,Protection from Poison,Touch,False,abjuration,Abjuration
,1 action,False,Instantaneous,purify-food-and-drink,1,,Purify Food and Drink,10 feet,True,transmutation,Transmutation
,1 hour,False,Instantaneous,raise-dead,5,"A diamond worth at least 500gp, which the spell consumes.",Raise Dead,Touch,False,necromancy,Necromancy
ranged,1 action,True,Up to 1 minute,ray-of-enfeeblement,2,,Ray of Enfeeblement,60 feet,False,necromancy,Necromancy
ranged,1 action,False,Instantaneous,ray-of-frost,0,,Ray of Frost,60 feet,False,evocation,Evocation
,1 minute,False,1 hour,regenerate,7,A prayer wheel and holy water.,Regenerate,Touch,False,transmutation,Transmutation
,1 hour,False,Instantaneous,reincarnate,5,"Rare oils and unguents worth at least 1,000 gp, which the spell consumes.",Reincarnate,Touch,False,transmutation,Transmutation
,1 action,False,Instantaneous,remove-curse,3,,Remove Curse,Touch,False,abjuration,Abjuration
,1 action,True,Up to 1 minute,resilient-sphere,4,A hemispherical piece of clear crystal and a matching hemispherical piece of gum arabic.,Resilient Sphere,30 feet,False,evocation,Evocation
,1 action,True,Up to 1 minute,resistance,0,A miniature cloak.,Resistance,Touch,False,abjuration,Abjuration
,1 hour,False,Instantaneous,resurrection,7,"A diamond worth at least 1,000gp, which the spell consumes.",Resurrection,Touch,False,necromancy,Necromancy
,1 action,True,Up to 1 minute,reverse-gravity,7,A lodestone and iron filings.,Reverse Gravity,100 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,revivify,3,"Diamonds worth 300gp, which the spell consumes.",Revivify,Touch,False,conjuration,Conjuration
,1 action,False,1 hour,rope-trick,2,Powdered corn extract and a twisted loop of parchment.,Rope Trick,Touch,False,transmutation,Transmutation
,1 action,False,Instantaneous,sacred-flame,0,,Sacred Flame,60 feet,False,evocation,Evocation
,1 bonus action,False,1 minute,sanctuary,1,A small silver mirror.,Sanctuary,30 feet,False,abjuration,Abjuration
,1 action,False,Instantaneous,scorching-ray,2,,Scorching Ray,120 feet,False,evocation,Evocation
,10 minutes,True,Up to 10 minutes,scrying,5,"A focus worth at least 1,000 gp, such as a crystal ball, a silver mirror, or a font filled with holy water.",Scrying,Self,False,divination,Divination
,1 action,False,Instantaneous,secret-chest,4,"An exquisite chest, 3 feet by 2 feet by 2 feet, constructed from rare materials worth at least 5,000 gp, and a Tiny replica made from the same materials worth at least 50 gp.",Secret Chest,Touch,False,conjuration,Conjuration
,1 action,False,1 hour,see-invisibility,2,A dash of talc and a small amount of silver powder.,See Invisibility,Self,False,divination,Divination
,1 action,False,8 hours,seeming,5,,Seeming,30 feet,False,illusion,Illusion
,1 action,False,1 round,sending,3,A short piece of fine copper wire.,Sending,Unlimited,False,evocation,Evocation
,1 action,False,Until dispelled,sequester,7,"A powder composed of diamond, emerald, ruby, and sapphire dust worth at least 5,000 gp, which the spell consumes.",Sequester,Touch,False,transmutation,Transmutation
,1 action,True,Up to 1 hour,shapechange,9,"A jade circlet worth at least 1,500 gp, which you must place on your head before you cast the spell.",Shapechange,Self,False,transmutation,Transmutation
,1 action,False,Instantaneous,shatter,2,A burst of mica.,Shatter,60 feet,False,evocation,Evocation
,1 reaction,False,1 round,shield,1,,Shield,Self,False,abjuration,Abjuration
,1 bonus action,True,Up to 10 minutes,shield-of-faith,1,A small parchment with a bit of holy text written on it.,Shield of Faith,60 feet,False,abjuration,Abjuration
,1 bonus action,False,1 minute,shillelagh,0,"Mistletoe, a shamrock leaf, and a club or quarterstaff.",Shillelagh,Touch,False,transmutation,Transmutation
melee,1 action,False,Instantaneous,shocking-grasp,0,,Shocking Grasp,Touch,False,evocation,Evocation
,1 action,True,Up to 10 minutes,silence,2,,Silence,120 feet,True,illusion,Illusion
,1 action,True,Up to 10 minutes,silent-image,1,A bit of fleece.,Silent Image,60 feet,False,illusion,Illusion
,12 hours,False,Until dispelled,simulacrum,7,"Snow or ice in quantities sufficient to made a life-size copy of the duplicated creature; some hair, fingernail clippings, or other piece of that creature's body placed inside the snow or ice; and powdered ruby worth 1,500 gp, sprinkled over the duplicate and consumed by the spell.",Simulacrum,Touch,False,illusion,Illusion
,1 action,False,1 minute,sleep,1,"A pinch of fine sand, rose petals, or a cricket.",Sleep,90 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,sleet-storm,3,A pinch of dust and a few drops of water.,Sleet Storm,150 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 minute,slow,3,A drop of molasses.,Slow,120 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,spare-the-dying,0,,Spare the Dying,Touch,False,necromancy,Necromancy
,1 action,False,10 minutes,speak-with-animals,1,,Speak with Animals,Self,True,divination,Divination
,1 action,False,10 minutes,speak-with-dead,3,Burning incense.,Speak with Dead,10 feet,False,necromancy,Necromancy
,1 action,False,10 minutes,speak-with-plants,3,,Speak with Plants,Self,False,transmutation,Transmutation
,1 action,True,Up to 1 hour,spider-climb,2,A drop of bitumen and a spider.,Spider Climb,Touch,False,transmutation,Transmutation
,1 action,True,Up to 10 minutes,spike-growth,2,"Seven sharp thorns or seven small twigs, each sharpened to a point.",Spike Growth,150 feet,False,transmutation,Transmutation
,1 action,True,Up to 10 minutes,spirit-guardians,3,A holy symbol.,Spirit Guardians,Self,False,conjuration,Conjuration
melee,1 bonus action,False,1 minute,spiritual-weapon,2,,Spiritual Weapon,60 feet,False,evocation,Evocation
,1 action,True,Up to 1 minute,stinking-cloud,3,A rotten egg or several skunk cabbage leaves.,Stinking Cloud,90 feet,False,conjuration,Conjuration
,1 action,False,Instantaneous,stone-shape,4,"Soft clay, to be crudely worked into the desired shape for the stone object.",Stone Shape,Touch,False,transmutation,Transmutation
,1 action,True,Up to 1 hour,stoneskin,4,"Diamond dust worth 100 gp, which the spell consumes.",Stoneskin,Touch,False,abjuration,Abjuration
,1 action,True,Up to 1 minute,storm-of-vengeance,9,,Storm of Vengeance,Sight,False,conjuration,Conjuration
,1 action,True,Up to 8 hours,suggestion,2,A snake's tongue and either a bit of honeycomb or a drop of sweet oil.,Suggestion,30 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,sunbeam,6,A magnifying glass.,Sunbeam,Self,False,evocation,Evocation
,1 action,False,Instantaneous,sunburst,8,Fire and a piece of sunstone.,Sunburst,150 feet,False,evocation,Evocation
,1 minute,False,Until dispelled,symbol,7,"Mercury, phosphorus, and powdered diamond and opal with a total value of at least 1,000 gp, which the spell consumes.",Symbol,Touch,False,abjuration,Abjuration
,1 action,True,Up to 10 minutes,telekinesis,5,,Telekinesis,60 feet,False,transmutation,Transmutation
,1 action,False,1 hour,telepathic-bond,5,Pieces of eggshell from two different kinds of creatures,Telepathic Bond,30 feet,True,divination,Divination
,1 action,False,Instantaneous,teleport,7,,Teleport,10 feet,False,conjuration,Conjuration
,1 minute,False,1 round,teleportation-circle,5,"Rare chalks and inks infused with precious gems with 50 gp, which the spell consumes.",Teleportation Circle,10 feet,False,conjuration,Conjuration
,1 action,False,1 minute,thaumaturgy,0,,Thaumaturgy,30 feet,False,transmutation,Transmutation
,1 action,False,Instantaneous,thunderwave,1,,Thunderwave,Self,False,evocation,Evocation
,1 action,False,Instantaneous,time-stop,9,,Time Stop,Self,False,transmutation,Transmutation
,1 minute,False,8 hours,tiny-hut,3,A small crystal bead.,Tiny Hut,Self,True,evocation,Evocation
,1 action,False,1 hour,tongues,3,A small clay model of a ziggurat.,Tongues,Touch,False,divination,Divination
,1 action,False,1 round,transport-via-plants,6,,Transport via Plants,10 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 minute,tree-stride,5,,Tree Stride,Self,False,conjuration,Conjuration
,1 action,True,Up to 1 hour,true-polymorph,9,"A drop of mercury, a dollop of gum arabic, and a wisp of smoke.",True Polymorph,30 feet,False,transmutation,Transmutation
,1 hour,False,Instantaneous,true-resurrection,9,"A sprinkle of holy water and diamonds worth at least 25,000gp, which the spell consumes.",True Resurrection,Touch,False,necromancy,Necromancy
,1 action,False,1 hour,true-seeing,6,"An ointment for the eyes that costs 25gp; is made from mushroom powder, saffron, and fat; and is consumed by the spell.",True Seeing,Touch,False,divination,Divination
,1 action,True,Up to 1 round,true-strike,0,,True Strike,30 feet,False,divination,Divination
,1 action,False,1 hour,unseen-servant,1,A piece of string and a bit of wood.,Unseen Servant,60 feet,True,conjuration,Conjuration
melee,1 action,True,Up to 1 minute,vampiric-touch,3,,Vampiric Touch,Self,False,necromancy,Necromancy
,1 action,False,Instantaneous,vicious-mockery,0,,Vicious Mockery,60 feet,False,enchantment,Enchantment
,1 action,True,Up to 1 minute,wall-of-fire,4,A small piece of phosphorus.,Wall of Fire,120 feet,False,evocation,Evocation
,1 action,True,Up to 10 minutes,wall-of-force,5,A pinch of powder made by crushing a clear gemstone.,Wall of Force,120 feet,False,evocation,Evocation
,1 action,True,Up to 10 minutes,wall-of-ice,6,A small piece of quartz.,Wall of Ice,120 feet,False,evocation,Evocation
,1 action,True,Up to 10 minutes,wall-of-stone,5,A small block of granite.,Wall of Stone,120 feet,False,evocation,Evocation
,1 action,True,Up to 10 minutes,wall-of-thorns,6,A handful of thorns.,Wall of Thorns,120 feet,False,conjuration,Conjuration
,1 action,False,1 hour,warding-bond,2,"A pair of platinum rings worth at least 50gp each, which you and the target must wear for the duration.",Warding Bond,Touch,False,abjuration,Abjuration
,1 action,False,24 hours,water-breathing,3,A short piece of reed or straw.,Water Breathing,30 feet,True,transmutation,Transmutation
,1 action,False,1 hour,water-walk,3,A piece of cork.,Water Walk,30 feet,True,transmutation,Transmutation
,1 action,True,Up to 1 hour,web,2,A bit of spiderweb.,Web,60 feet,False,conjuration,Conjuration
,1 action,True,Up to 1 minute,weird,9,,Weird,120 feet,False,illusion,Illusion
,1 minute,False,8 hours,wind-walk,6,Fire and holy water.,Wind Walk,30 feet,False,transmutation,Transmutation
,1 action,True,Up to 1 minute,wind-wall,3,A tiny fan and a feather of exotic origin.,Wind Wall,120 feet,False,evocation,Evocation
,1 action,False,Instantaneous,wish,9,,Wish,Self,False,conjuration,Conjuration
,1 action,False,Instantaneous,word-of-recall,6,,Word of Recall,5 feet,False,conjuration,Conjuration
,1 action,False,10 minutes,zone-of-truth,2,,Zone of Truth,60 feet,False,enchantment,Enchantment
